Core_ID,Family,Genus,Binomial_Species,Latitude,Longitude,Elevation,Year,Month,Day,References,Image
507118,Ranunculaceae,Aconitum,Aconitum columbianum,37.37,-106.51,3589,1986,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507118,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144582_lg.jpg
507119,Ranunculaceae,Aconitum,Aconitum columbianum,37.18,-106.58,3607,1945,8,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507119,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144576_lg.jpg
507120,Ranunculaceae,Aconitum,Aconitum columbianum,38.74,-104.95,3065,1935,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507120,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144578_lg.jpg
507121,Ranunculaceae,Aconitum,Aconitum columbianum,39.81,-107.71,2802,1981,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507121,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144599_lg.jpg
507122,Ranunculaceae,Aconitum,Aconitum columbianum,39.52,-108.05,2590,1981,6,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507122,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144597_lg.jpg
507124,Ranunculaceae,Aconitum,Aconitum columbianum,39.61,-107.56,2028,1981,8,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507124,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144596_lg.jpg
507125,Ranunculaceae,Aconitum,Aconitum columbianum,40.3,-105.96,2957,1960,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507125,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144603_lg.jpg
507126,Ranunculaceae,Aconitum,Aconitum columbianum,38.94,-106.98,2876,1961,7,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507126,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144606_lg.jpg
507127,Ranunculaceae,Aconitum,Aconitum columbianum,38.64,-106.4,3763,1905,8,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507127,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144591_lg.jpg
507128,Ranunculaceae,Aconitum,Aconitum columbianum,38.94,-106.98,2876,1959,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507128,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144604_lg.jpg
507129,Ranunculaceae,Aconitum,Aconitum columbianum,38.95,-106.99,2870,1959,7,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507129,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144607_lg.jpg
507130,Ranunculaceae,Aconitum,Aconitum columbianum,38.76,-107.1,2893,1966,8,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507130,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144595_lg.jpg
507131,Ranunculaceae,Aconitum,Aconitum columbianum,38.76,-107.1,2893,1967,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507131,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144594_lg.jpg
507132,Ranunculaceae,Aconitum,Aconitum columbianum,38.56,-106.92,2388,1967,8,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507132,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144592_lg.jpg
507134,Ranunculaceae,Aconitum,Aconitum columbianum,38.85,-107.09,3108,1950,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507134,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144600_lg.jpg
507135,Ranunculaceae,Aconitum,Aconitum columbianum,37.98,-107.55,3605,1981,7,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507135,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144598_lg.jpg
507136,Ranunculaceae,Aconitum,Aconitum columbianum,40.55,-106.58,2559,1947,7,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507136,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144602_lg.jpg
507140,Ranunculaceae,Aconitum,Aconitum columbianum,40.66,-105.84,3003,1974,7,30,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507140,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144613_lg.jpg
507141,Ranunculaceae,Aconitum,Aconitum columbianum,40.73,-105.52,2374,1970,7,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507141,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144615_lg.jpg
507142,Ranunculaceae,Aconitum,Aconitum columbianum,40.73,-105.52,2374,1970,7,31,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507142,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144616_lg.jpg
507143,Ranunculaceae,Aconitum,Aconitum columbianum,40.73,-105.52,2374,1970,7,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507143,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144624_lg.jpg
507144,Ranunculaceae,Aconitum,Aconitum columbianum,40.61,-105.36,2267,1896,7,10,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507144,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144621_lg.jpg
507145,Ranunculaceae,Aconitum,Aconitum columbianum,40.57,-105.36,2219,1985,7,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507145,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144627_lg.jpg
507146,Ranunculaceae,Aconitum,Aconitum columbianum,40.52,-105.89,3186,1935,8,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507146,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144617_lg.jpg
507147,Ranunculaceae,Aconitum,Aconitum columbianum,40.82,-105.79,3085,1974,7,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507147,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144625_lg.jpg
507148,Ranunculaceae,Aconitum,Aconitum columbianum,40.6,-105.47,2966,1962,8,31,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507148,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144623_lg.jpg
507149,Ranunculaceae,Aconitum,Aconitum columbianum,40.75,-107.34,2797,1982,7,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507149,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144626_lg.jpg
507157,Ranunculaceae,Aconitum,Aconitum columbianum,41.01,-106.82,2586,1956,8,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507157,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144637_lg.jpg
507158,Ranunculaceae,Aconitum,Aconitum columbianum,40.15,-107.05,2890,1948,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507158,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144632_lg.jpg
507159,Ranunculaceae,Aconitum,Aconitum columbianum,40.88,-107,2765,1987,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507159,https://swbiodiversity.org//imglib/seinet/soro/CS/0010/102325_lg.jpg
507160,Ranunculaceae,Aconitum,Aconitum columbianum,38.22,-106.59,2953,1959,7,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507160,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144636_lg.jpg
507161,Ranunculaceae,Aconitum,Aconitum columbianum,38.12,-105.7,3815,1943,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507161,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144638_lg.jpg
507162,Ranunculaceae,Aconitum,Aconitum columbianum,38.36,-106.3,2994,1976,8,4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507162,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144642_lg.jpg
507163,Ranunculaceae,Aconitum,Aconitum columbianum,37.82,-107.79,3952,1979,8,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507163,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144640_lg.jpg
507164,Ranunculaceae,Aconitum,Aconitum columbianum,37.89,-107.71,3470,1945,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507164,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144629_lg.jpg
507165,Ranunculaceae,Aconitum,Aconitum columbianum,39.45,-106.02,3115,1972,8,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507165,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144645_lg.jpg
507169,Ranunculaceae,Aconitum,Aconitum columbianum,38.97,-105.15,2760,1935,8,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507169,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144631_lg.jpg
507170,Ranunculaceae,Aconitum,Aconitum columbianum,38.76,-105.05,3069,1954,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507170,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144635_lg.jpg
507171,Ranunculaceae,Aconitum,Aconitum columbianum,40.31,-106.41,2944,1993,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=507171,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144601_lg.jpg
517236,Ranunculaceae,Aconitum,Aconitum columbianum,37.44,-108.05,3840,1995,8,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=517236,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144612_lg.jpg
518159,Ranunculaceae,Aconitum,Aconitum columbianum,40.38,-106.13,2938,1993,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=518159,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144605_lg.jpg
518580,Ranunculaceae,Aconitum,Aconitum columbianum,40.82,-106.6,2897,1974,7,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=518580,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144580_lg.jpg
518581,Ranunculaceae,Aconitum,Aconitum columbianum,40.51,-105.76,3070,1985,7,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=518581,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144581_lg.jpg
522158,Ranunculaceae,Aconitum,Aconitum columbianum,37.58,-107.95,2775,1993,8,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=522158,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144610_lg.jpg
523321,Ranunculaceae,Aconitum,Aconitum columbianum,39.5,-106.16,2987,2003,8,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=523321,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144628_lg.jpg
524943,Ranunculaceae,Aconitum,Aconitum columbianum,40.94,-106.09,2728,2004,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=524943,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144611_lg.jpg
525848,Ranunculaceae,Aconitum,Aconitum columbianum,40.38,-106.34,3041,1995,8,2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=525848,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144585_lg.jpg
526006,Ranunculaceae,Aconitum,Aconitum columbianum,40.38,-106.45,2757,1993,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=526006,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144587_lg.jpg
526007,Ranunculaceae,Aconitum,Aconitum columbianum,40.38,-106.45,2757,1993,8,3,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=526007,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144586_lg.jpg
528649,Ranunculaceae,Aconitum,Aconitum columbianum,40.35,-106.43,2878,2001,8,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=528649,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144588_lg.jpg
530467,Ranunculaceae,Aconitum,Aconitum columbianum,40.77,-105.92,2853,2001,7,22,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=530467,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144609_lg.jpg
530971,Ranunculaceae,Aconitum,Aconitum columbianum,39.94,-106.44,2954,2004,7,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=530971,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144584_lg.jpg
2075054,Ranunculaceae,Aconitum,Aconitum columbianum,37.2764,-107.9088,2165,1996,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2075054,https://api.idigbio.org/v2/media/4666ab72e5f3ea2e3ff17029170ee35c
2082490,Ranunculaceae,Aconitum,Aconitum columbianum,37.61666667,-107.316667,3463,2003,7,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2082490,https://api.idigbio.org/v2/media/4088b198ced81d4cc19cb6a0c3d554c6
2123625,Ranunculaceae,Aconitum,Aconitum columbianum,37.994,-107.948833,3032,2010,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2123625,https://api.idigbio.org/v2/media/988761c6a45e742a97e4ce5629bb79d5
2443685,Ranunculaceae,Aconitum,Aconitum columbianum,40.37583,-111.14166,2833,2010,8,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2443685,http://bry.byu.edu/Herbarium/imgbry/01/0164/BRYV0164703_lg.jpg
2823037,Ranunculaceae,Aconitum,Aconitum columbianum,41.057753,-106.013342,2315,1895,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2823037,http://sweetgum.nybg.org/images3/571/905/00353149.jpg
3015910,Ranunculaceae,Aconitum,Aconitum columbianum,39.28,-106.37,3097,2000,8,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3015910,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144608_lg.jpg
3015911,Ranunculaceae,Aconitum,Aconitum columbianum,38.2,-105.22,2995,1998,6,27,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3015911,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144575_lg.jpg
3015912,Ranunculaceae,Aconitum,Aconitum columbianum,40.31,-106.41,2944,1993,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3015912,https://swbiodiversity.org//imglib/seinet/soro/CS/0014/144583_lg.jpg
3030208,Ranunculaceae,Aconitum,Aconitum columbianum,38.956422,-106.988481,2887,1965,8,8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3030208,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003198_lg.jpg
3030209,Ranunculaceae,Aconitum,Aconitum columbianum,38.95633,-106.99018,2881,2010,7,15,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3030209,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0009/RMBL0009610_lg.jpg
3030210,Ranunculaceae,Aconitum,Aconitum columbianum,39.036571,-107.034783,3538,1994,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3030210,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003200_lg.jpg
3030211,Ranunculaceae,Aconitum,Aconitum columbianum,39.000805,-106.141858,3652,1995,9,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3030211,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003201_lg.jpg
3030212,Ranunculaceae,Aconitum,Aconitum columbianum,38.97054,-106.965848,3076,1958,7,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3030212,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003203_lg.jpg
3030213,Ranunculaceae,Aconitum,Aconitum columbianum,38.959183,-106.989103,2898,1965,8,11,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3030213,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003199_lg.jpg
3030214,Ranunculaceae,Aconitum,Aconitum columbianum,38.959158,-106.989768,2895,1958,7,28,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3030214,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003202_lg.jpg
3030215,Ranunculaceae,Aconitum,Aconitum columbianum,38.892165,-106.97306,2771,1957,7,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3030215,https://swbiodiversity.org//imglib/h_seinet/intermt/RMBL/RMBL0003/RMBL0003204_lg.jpg
3054289,RANUNCULACEAE,Aconitum,Aconitum columbianum,37.878822,-107.698032,3719,1971,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3054289,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00017/KHD00017816_lg.jpg
3054290,RANUNCULACEAE,Aconitum,Aconitum columbianum,37.920227,-107.610926,3711,1970,7,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3054290,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00017/KHD00017815_lg.jpg
3055903,RANUNCULACEAE,Aconitum,Aconitum columbianum,37.944243,-105.575787,3580,2006,7,26,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3055903,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00020/KHD00020095_lg.jpg
3056093,RANUNCULACEAE,Aconitum,Aconitum columbianum,38.761531,-107.101019,2874,1967,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3056093,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00020/KHD00020310_lg.jpg
3056395,RANUNCULACEAE,Aconitum,Aconitum columbianum,39.537295,-105.276436,2557,2004,6,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3056395,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00022/KHD00022794_lg.jpg
3056953,RANUNCULACEAE,Aconitum,Aconitum columbianum,40.074951,-105.593844,3254,1965,7,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3056953,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00025/KHD00025509_lg.jpg
3075387,Ranunculaceae,Aconitum,Aconitum columbianum,35.815769,-105.676777,2578,1979,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3075387,https://swbiodiversity.org//imglib/h_seinet/seinet/DES/DES00021/DES00021985_lg.jpg
3110515,Ranunculaceae,Aconitum,Aconitum columbianum,37.42583333,-108.0433333,3063,2008,6,9,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3110515,https://api.idigbio.org/v2/media/aeb848953cef5213cc2da7e09b87b11e
3110516,Ranunculaceae,Aconitum,Aconitum columbianum,37.298616,-107.224682,2568,2003,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3110516,https://api.idigbio.org/v2/media/8d827c292ebdd8872f17691628a7e2b1
3110517,Ranunculaceae,Aconitum,Aconitum columbianum,37.80944,-107.811731,3772,1996,7,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3110517,https://api.idigbio.org/v2/media/70b1c1056f5310b0ddd89c90292fd1b5
3110520,Ranunculaceae,Aconitum,Aconitum columbianum,37.428514,-108.041029,3059,1963,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3110520,https://api.idigbio.org/v2/media/8647518b0a8730e571281a5f372e5d8d
3110521,Ranunculaceae,Aconitum,Aconitum columbianum,37.428514,-108.041029,3059,1963,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3110521,https://api.idigbio.org/v2/media/b57d0c5d09d1ca745c174f8987a1d201
3110523,Ranunculaceae,Aconitum,Aconitum columbianum,37.720683,-107.553237,3726,1994,8,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3110523,https://api.idigbio.org/v2/media/1d0d2dff25d9eb4b630b99b456f65c8d
3110524,Ranunculaceae,Aconitum,Aconitum columbianum,37.720683,-107.553236,3726,1994,8,6,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3110524,https://api.idigbio.org/v2/media/5591a8a34311e4b10edf8308f3272a56
3110525,Ranunculaceae,Aconitum,Aconitum columbianum,37.589147,-107.533442,2798,1934,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3110525,https://api.idigbio.org/v2/media/64bdfdf2c52bd44889472b8ae152ba7a
3110526,Ranunculaceae,Aconitum,Aconitum columbianum,37.594403,-108.014985,3260,1995,8,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3110526,https://api.idigbio.org/v2/media/c70daeef6882b8959ae3c5c99261b2fd
3110527,Ranunculaceae,Aconitum,Aconitum columbianum,37.55295,-107.446609,3064,1964,8,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3110527,https://api.idigbio.org/v2/media/d28d27e0be664a805d791d84c3073bbf
3110528,Ranunculaceae,Aconitum,Aconitum columbianum,37.55295,-107.446609,3064,1964,8,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3110528,https://api.idigbio.org/v2/media/7caebc12e09c0159f107c4ced5dc4814
3112294,Ranunculaceae,Aconitum,Aconitum columbianum,37.344695,-107.108506,2404,1996,8,16,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3112294,https://api.idigbio.org/v2/media/0b3f6905ae261097c3ac73b08a998713
3112317,Ranunculaceae,Aconitum,Aconitum columbianum,37.344695,-107.108506,2404,1998,8,19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3112317,https://api.idigbio.org/v2/media/3e47a7ce8cb06cf9adcd5579845b2c31
3227098,RANUNCULACEAE,Aconitum,Aconitum columbianum,39.32177,-106.073456,3524,1969,7,17,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3227098,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00017/KHD00017814_lg.jpg
3227099,RANUNCULACEAE,Aconitum,Aconitum columbianum,38.915363,-106.439304,4197,1980,7,18,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3227099,https://swbiodiversity.org//imglib/h_seinet/seinet/DBG_KHD/KHD00017/KHD00017817_lg.jpg
3228490,Ranunculaceae,Aconitum,Aconitum columbianum,39.27121,-105.49276,2963,2012,7,23,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3228490,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00024/KHD00024442_lg.jpg
3231333,Ranunculaceae,Aconitum,Aconitum columbianum,38.827773,-106.409192,3694,1963,7,13,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3231333,https://swbiodiversity.org//imglib/storage/portals/seinet/sernec/wsc/plantae/WSC0001/WSC0001746_lg.jpg
3231335,Ranunculaceae,Aconitum,Aconitum columbianum,38.865906,-106.977266,2704,1965,7,7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3231335,https://swbiodiversity.org//imglib/storage/portals/seinet/sernec/wsc/plantae/WSC0001/WSC0001796_lg.jpg
3231336,Ranunculaceae,Aconitum,Aconitum columbianum,38.827773,-106.409192,3694,1963,7,12,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3231336,https://swbiodiversity.org//imglib/storage/portals/seinet/sernec/wsc/plantae/WSC0000/WSC0000408_lg.jpg
3231340,Ranunculaceae,Aconitum,Aconitum columbianum,38.7615,-107.101,2874,1966,8,24,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3231340,https://swbiodiversity.org//imglib/storage/portals/seinet/sernec/wsc/plantae/WSC0004/WSC0004000_lg.jpg
3231341,Ranunculaceae,Aconitum,Aconitum columbianum,38.7615,-107.101,2874,1967,7,29,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3231341,https://swbiodiversity.org//imglib/storage/portals/seinet/sernec/wsc/plantae/WSC0004/WSC0004001_lg.jpg
3231343,Ranunculaceae,Aconitum,Aconitum columbianum,39.565319,-107.365991,1753,1976,7,20,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3231343,https://swbiodiversity.org//imglib/storage/portals/seinet/sernec/wsc/plantae/WSC0005/WSC0005942_lg.jpg
3231344,Ranunculaceae,Aconitum,Aconitum columbianum,38.899436,-107.107076,3301,1967,8,14,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3231344,https://swbiodiversity.org//imglib/storage/portals/seinet/sernec/wsc/plantae/WSC0003/WSC0003434_lg.jpg
3263250,Ranunculaceae,Aconitum,Aconitum columbianum,39.281901,-105.501476,3031,2012,7,25,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3263250,https://swbiodiversity.org//imglib/h_seinet/seinet/KHD/KHD00024/KHD00024375_lg.jpg
3281974,Ranunculaceae,Aconitum,Aconitum columbianum,37.52055556,-107.1952778,2766,1995,7,21,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3281974,https://api.idigbio.org/v2/media/ccd6bbcfa089119e2506f04b01b5f30e
